sample_index,adc_raw,voltage_V
932,1159,0.23346
933,595,0.11985
934,288,0.05801
935,411,0.08279
936,862,0.17363
937,1405,0.28301
938,1938,0.39037
939,2149,0.43287
940,2035,0.40991
941,1684,0.33921
942,1015,0.20445
943,551,0.11099
944,282,0.05680
945,436,0.08782
946,888,0.17887
947,1524,0.30698
948,1956,0.39399
949,2207,0.44455
950,2042,0.41132
951,1579,0.31806
952,977,0.19680
953,549,0.11058
954,344,0.06929
955,547,0.11018
956,971,0.19559
957,1570,0.31624
958,2025,0.40789
959,2162,0.43549
960,1998,0.40245
961,1485,0.29912
962,925,0.18632
963,472,0.09507
964,293,0.05902
965,561,0.11300
966,1012,0.20385
967,1675,0.33739
968,2077,0.41837
969,2194,0.44193
970,1995,0.40185
971,1423,0.28663
972,903,0.18189
973,408,0.08218
974,298,0.06003
975,626,0.12609
976,1156,0.23285
977,1705,0.34344
978,2067,0.41635
979,2199,0.44294
980,1940,0.39077
981,1433,0.28865
982,858,0.17283
983,422,0.08500
984,310,0.06244
985,686,0.13818
986,1212,0.24413
987,1698,0.34203
988,2106,0.42421
989,2141,0.43126
990,1887,0.38010
991,1318,0.26548
992,734,0.14785
993,371,0.07473
994,319,0.06426
995,702,0.14140
996,1211,0.24393
997,1811,0.36479
998,2118,0.42663
999,2114,0.42582
1000,1802,0.36297
1001,1235,0.24876
1002,715,0.14402
1003,361,0.07272
1004,340,0.06849
1005,728,0.14664
1006,1340,0.26991
1007,1822,0.36700
1008,2158,0.43468
1009,2103,0.42360
1010,1809,0.36438
1011,1187,0.23910
1012,619,0.12468
1013,310,0.06244
1014,417,0.08400
1015,766,0.15429
1016,1378,0.27757
1017,1878,0.37828
1018,2140,0.43106
1019,2087,0.42038
1020,1755,0.35351
1021,1162,0.23406
1022,614,0.12368
1023,279,0.05620
1024,427,0.08601
1025,832,0.16759
1026,1402,0.28240
1027,1907,0.38412
1028,2161,0.43529
1029,2072,0.41736
1030,1634,0.32913
1031,1078,0.21714
1032,511,0.10293
1033,334,0.06728
1034,452,0.09105
1035,934,0.18813
1036,1456,0.29328
1037,1996,0.40205
1038,2209,0.44496
1039,2074,0.41776
1040,1560,0.31423
1041,1052,0.21190
1042,503,0.10132
1043,295,0.05942
1044,491,0.09890
1045,984,0.19821
1046,1592,0.32067
1047,2033,0.40950
1048,2153,0.43368
1049,2009,0.40467
1050,1493,0.30073
1051,923,0.18592
1052,472,0.09507
1053,302,0.06083
1054,590,0.11884
1055,1086,0.21875
1056,1609,0.32410
1057,2074,0.41776
1058,2216,0.44637
1059,1956,0.39399
1060,1472,0.29650
1061,887,0.17867
1062,416,0.08379
1063,307,0.06184
1064,617,0.12428
1065,1132,0.22802
1066,1702,0.34283
1067,2098,0.42260
1068,2218,0.44677
1069,1936,0.38997
1070,1402,0.28240
1071,848,0.17081
1072,386,0.07775
1073,322,0.06486
1074,639,0.12871
1075,1176,0.23688
1076,1749,0.35230
1077,2113,0.42562
1078,2184,0.43992
1079,1866,0.37587
1080,1356,0.27314
1081,771,0.15530
1082,350,0.07050
1083,327,0.06587
1084,732,0.14745
1085,1277,0.25722
1086,1783,0.35915
1087,2127,0.42844
1088,2161,0.43529
1089,1834,0.36942
1090,1300,0.26186
1091,725,0.14604
1092,304,0.06123
1093,379,0.07634
1094,748,0.15067
1095,1360,0.27394
1096,1847,0.37204
1097,2154,0.43388
1098,2128,0.42864
1099,1775,0.35754
1100,1200,0.24171
1101,638,0.12851
1102,315,0.06345
1103,387,0.07795
1104,797,0.16054
1105,1337,0.26931
1106,1864,0.37546
1107,2168,0.43670
1108,2137,0.43045
1109,1730,0.34847
1110,1136,0.22882
1111,625,0.12589
1112,318,0.06405
1113,396,0.07977
1114,879,0.17706
1115,1399,0.28180
1116,1903,0.38332
1117,2183,0.43972
1118,2066,0.41615
1119,1678,0.33800
1120,1054,0.21231
1121,556,0.11199
1122,341,0.06869
1123,440,0.08863
1124,933,0.18793
1125,1529,0.30798
1126,2004,0.40366
1127,2189,0.44093
1128,2031,0.40910
1129,1612,0.32470
1130,973,0.19599
1131,479,0.09648
1132,286,0.05761
1133,506,0.10192
1134,990,0.19941
1135,1610,0.32430
1136,1995,0.40185
1137,2192,0.44153
1138,2003,0.40346
1139,1490,0.30013
1140,935,0.18834
1141,415,0.08359
1142,343,0.06909
1143,600,0.12086
1144,1064,0.21432
1145,1631,0.32853
1146,2096,0.42219
1147,2180,0.43911
1148,1993,0.40145
1149,1480,0.29811
1150,872,0.17565
1151,450,0.09064
1152,327,0.06587
1153,578,0.11643
1154,1116,0.22479
1155,1682,0.33880
1156,2113,0.42562
1157,2168,0.43670
1158,1926,0.38795
1159,1398,0.28160
1160,851,0.17142
1161,362,0.07292
1162,392,0.07896
1163,677,0.13637
1164,1158,0.23325
1165,1739,0.35028
1166,2139,0.43086
1167,2156,0.43428
1168,1827,0.36801
1169,1345,0.27092
1170,756,0.15228
1171,378,0.07614
1172,361,0.07272
1173,742,0.14946
1174,1254,0.25259
1175,1791,0.36076
1176,2140,0.43106
1177,2154,0.43388
1178,1813,0.36519
1179,1286,0.25904
1180,740,0.14906
1181,342,0.06889
